root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:38.011401 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8424:8460, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011436 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8460:8664, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011463 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8664:8700, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011501 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8700:8904, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011539 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8904:8940, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011574 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8940:9144, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011612 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9144:9180, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011648 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9180:9384, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011674 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9384:9420, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011710 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9420:9624, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011737 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9624:9660, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011773 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9660:9864, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011798 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9864:9900, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011834 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 9900:10104, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011859 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10104:10140, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011896 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10140:10344, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011926 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10344:10380, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011971 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10380:10584, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.012004 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10584:10620, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.012037 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10620:10808, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 188
21:24:38.012063 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10808:10844, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.012099 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 10844:11048, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.028143 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 10584, win 5741, options [nop,nop,TS val 1280389419 ecr 4230508429], length 0
21:24:38.028144 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 11048, win 5741, options [nop,nop,TS val 1280389420 ecr 4230508429], length 0
