root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:26:52.474791 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 10456:10708, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 252
21:26:52.474817 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 10708:10744, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.474853 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 10744:11004, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 260
21:26:52.474882 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11004:11040, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.474922 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11040:11292, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 252
21:26:52.474950 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11292:11328, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.475098 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11328:11588, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 260
21:26:52.475132 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11588:11624, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.475170 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11624:11876, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 252
21:26:52.475199 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11876:11912, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475240 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 11912:12172, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 260
21:26:52.475268 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 12172:12208, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475308 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 12208:12460, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 252
21:26:52.475336 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 12460:12496, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475376 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 12496:12756, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 260
21:26:52.475404 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 12756:12792, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475444 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 12792:13044, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 252
21:26:52.475472 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13044:13080, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475513 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13080:13340, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 260
